ALB                    CARICA BATTERIA BC 12V
CFS                    RELE' DI FASE
AMC1                   ALIMENTATORE MCP2015X,RSS,BOX A3 24V
AMC2                   ALIMENTATORE MCP2015X,RSS,BOX A3 24V
AB1                    CARICABATTERIE BATTERIE EMERGENZA 24V
AB2                    CARICABATTERIE BATTERIE EMERGENZA 24V
BC                     BATTERIA ALLARME 12V 7AH
F1                     FUSIBILE 4A TR1
F2                     FUSIBILE 4A TR2
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5 - F6                FUSIBILE MOTORE PORTE TRIFASE
F7                     FUSIBILE 4A OPERATORE PORTE ELETTRONICO
F8                     FUSUBILE PATTINO RETRATTILE
F9                     FUSIBILE 4A PROTEZIONE CIRCUITO VALVOLE
F10                    FUSIBILE 4A PROTEZIONE +24VDC GRUPPO BATTERIE
F11                    FUSIBILE 4A PROTEZIONE +48VDC GRUPPO BATTERIE

VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
TR2                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

MCP2015X-SMD           SCHEDA MADRE
PER16B-SMD             SCHEDA ESPANSIONE
L1307                  SCHEDA LEGGE 13
MIAE                   SCHEDA GESTIONE EMERGENZA (SMS)
SMS-START              SOFT-STARTER (SMS)

Y                      TELERUTTORE STELLA
P                      TELERUTTORE PROTEZIONE
DS1                    TELERUTTORE DISCESA
DS2                    TELERUTTORE DISCESA
SAL                    TELERUTTORE SALITA
PV                     RELE' BASSA VELOCITA'
RP                     RELE' PATTINO
YX                     AUSILIARIO TELERUTTORE STELLA
PX                     AUSILIARIO TELERUTTORE PROTEZIONE
SX                     AUSILIARIO TELERUTTORE SALITA
AP1 - AP2              RELE' APERTURA
CP1 - CP2              RELE' CHIUSURA
RSS                    RELE' SICUREZZA
BOX A3                 GESTIONE CONTROLLO A3 (SMS)
X1 - X2                RELE' GESTIONE A3
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD3                    RADDRIZZATORE VALVOLE CON TENSIONE MAGGIORE DI 48VDC
RD4                    RADDRIZZATORE PATTINO
