1 - 2                  EXTRA CORSA
2 - 4                  ALT E BOTTONIERA MANUTENZIONE
4 - 5                  INTER FOSSA
5 - 6                  ALT CABINA
6 - 7                  PARACADUTE
7 - 8                  PRELIMINARI
8 - 9                  PORTE CABINA(SIA IN BATTENTE CHE IN AUTOMATICO)
9 - 10                 BLOCCHI
MA - MB - GND          DEVIATORE MANUTENZIONE
CB                     COMUNE CHIAMATE CABINA
UP / DW                PULSANTI ISPEZIONE
CE                     COMUNE CHIAMATE ESTERNE
CB - 0, CB - 1...      CHIAMATE CABINA (SU SCHEDA PERIFERICA)
CE - 0, CE - 1...      CHIAMATE ESTERNE (SU SCHEDA PERIFERICA)
GND - FCD              BISTABILE FINE CORSA DISCESA
GND - FCS              BISTABILE FINE CORSA SALITA
GND - ID               INDUTTORE CONTEGGIO DISCESA
GND - IS               INDUTTORE CONTEGGIO SALITA
GND - IP1, GND - IP2   INDUTTORI CABINA AL PIANO E ZONA SICUREZZA  (SU BOX CABINA E SU QUADRO)
GND - PA               PULSANTE APERTURA PORTE
GND - SVR              CONTATTO SOVRACCARICO
GND - CM1              COSTOLA MOBILE - FOTOCELLULA LATO 1
GND - CM2              COSTOLA MOBILE - FOTOCELLULA LATO 2
GND - FM               FONDO MOBILE
CFC - FA1              CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC - FC1              CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC - FA2              CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC - FC2              CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL - 0, CL - 1...      SEGNALAZIONE POSIZIONE (SU PERIFERICA)
CL - FS                SEGNALAZIONE FRECCIA SALITA
CL - FD                SEGNALAZIONE FRECCIA DISCESA
CL - SV                SEGNALAZIONE SOVRACCARICO
CL - GON               SEGANALZIONE GONG IN CABINA
CL - OCC               SEGANALAZIONE OCCUPATO
PE                     RITORNO PRESENTE
